"Name.of.Satellite..Alternate.Names","Country.Org.of.UN.Registry","Users","Purpose","Class.of.Orbit","Period..minutes.","Launch.Mass..kg..","Date.of.Launch","Launch.Site","Distance"
"Yahsat-1B (Y1B)","United Arab Emirates","Military/Commercial","Communications","GEO","1436.07","6,000",2012-04-23,"Baikonur Cosmodrome",35785.5
"Yamal-202 ","Russia","Commercial","Communications","GEO","1436.06","1,320",2003-11-24,"Baikonur Cosmodrome",35785
"Yamal-300K","Russia","Commercial","Communications","GEO","1435.76","1,640",2012-11-02,"Baikonur Cosmodrome",35780
"Yamal-401","NR","Commercial","Communications","GEO","1436.33","2,976",2014-12-15,"Baikonur Cosmodrome",35791.5
"Yamal-402","Russia","Commercial","Communications","GEO","1436.11","4,463",2012-12-08,"Baikonur Cosmodrome",35786.5
"Yaogan 10 (Remote Sensing Satellite 10)","China","Military","Earth Observation","LEO","97.2","",2010-08-09,"Taiyuan Launch Center",626.5
"Yaogan 11 (Remote Sensing Satellite 11)","China","Military","Earth Observation","LEO","97.7","",2010-09-22,"Jiuquan Satellite Launch Center",647
"Yaogan 12 (Remote Sensing Satellite 12)","China","Military","Earth Observation","LEO","94.4","",2011-11-09,"Taiyuan Launch Center",491.5
"Yaogan 13 (Remote Sensing Satellite 13)","China","Military","Earth Observation","LEO","94.8","",2011-11-29,"Taiyuan Launch Center",506.5
"Yaogan 14 (Remote Sensing Satellite 14)","China","Military","Earth Observation","LEO","94.1","",2012-05-10,"Taiyuan Launch Center",475
"Yaogan 15 (Remote Sensing Satellite 15)","China","Military","Earth Observation","LEO","109.5","1,040",2012-05-29,"Taiyuan Launch Center",1204
"Yaogan 16A (Remote Sensing Satellite 16A, Yaogan Weixing 16)","China","Military","Earth Observation","LEO","106.93","",2012-11-25,"Jiuquan Satellite Launch Center",1084.5
"Yaogan 16B (Remote Sensing Satellite 16B)","NR","Military","Earth Observation","LEO","106.93","",2012-11-25,"Jiuquan Satellite Launch Center",1084.5
"Yaogan 16C (Remote Sensing Satlelite 16C)","NR","Military","Earth Observation","LEO","106.33","",2012-11-25,"Jiuquan Satellite Launch Center",1056.5
"Yaogan 17A (Remote Sensing Satellite 17A, Yaogan Weixing 17)","China","Military","Earth Observation","LEO","107.12","",2013-09-01,"Jiuquan Satellite Launch Center",1093.5
"Yaogan 17B (Remote Sensing Satellite 17B)","NR","Military","Earth Observation","LEO","107.13","",2013-09-01,"Jiuquan Satellite Launch Center",1095.5
"Yaogan 17C (Remote Sensing Satellite 17C)","NR","Military","Earth Observation","LEO","105.14","",2013-09-01,"Jiuquan Satellite Launch Center",1001
"Yaogan 18 (Remote Sensing Satellite 18)","China","Military","Earth Observation","LEO","94.84","",2013-10-29,"Taiyuan Launch Center",511
"Yaogan 19 (Remote Sensing Satellite 19)","China","Military","Earth Observation","LEO","109.51","",2013-11-20,"Taiyuan Launch Center",1204
"Yaogan 2 (Remote Sensing Satellite 2, Jian Bing 5-2, JB 5-2)","China","Military","Earth Observation","LEO","97.7","1,200",2007-05-25,"Jiuquan Satellite Launch Center",647
"Yaogan 20A (Remote Sensing Satellite 20A)","NR","Military","Earth Observation","LEO","107.05","",2014-08-09,"Jiuquan Satellite Launch Center",1090
"Yaogan 20B (Remote Sensing Satellite 20B)","NR","Military","Earth Observation","LEO","107.05","",2014-08-09,"Jiuquan Satellite Launch Center",1090
"Yaogan 20C (Remote Sensing Satellite 20C)","NR","Military","Earth Observation","LEO","107.05","",2014-08-09,"Jiuquan Satellite Launch Center",1090.5
"Yaogan 21 (Remote Sensing Satellite 21)","NR","Military","Earth Observation","LEO","94.35","",2014-09-08,"Taiyuan Launch Center",487
"Yaogan 22 (Remote Sensing Satellite 22)","NR","Military","Earth Observation","LEO","109.48","",2014-10-20,"Taiyuan Launch Center",1202.5
"Yaogan 23 (Remote Sensing Satellite 23)","NR","Military","Earth Observation","LEO","94.67","",2014-11-14,"Taiyuan Launch Center",502.5
"Yaogan 24 (Remote Sensing Satellite 24)","NR","Military","Earth Observation","LEO","97.55","",2014-11-20,"Jiuquan Satellite Launch Center",641.5
"Yaogan 25A (Remote Sensing Satellite 25A)","NR","Military","Earth Observation","LEO","107.12","",2014-12-10,"Jiuquan Satellite Launch Center",1093
"Yaogan 25B (Remote Sensing Satellite 25B)","NR","Military","Earth Observation","LEO","107.01","",2014-12-10,"Jiuquan Satellite Launch Center",1088
"Yaogan 25C (Remote Sensing Satellite 25C)","NR","Military","Earth Observation","LEO","107.31","",2014-12-10,"Jiuquan Satellite Launch Center",1102.5
"Yaogan 26 (Remote Sensing Satellite 26)","NR","Military","Earth Observation","LEO","94.39","",2014-12-27,"Taiyuan Launch Center",489
"Yaogan 27 (Remote Sensing Satellite 27)","NR","Military","Earth Observation","LEO","109.4","",2015-08-27,"Taiyuan Launch Center",1207
"Yaogan 3 (Remote Sensing Satellite 3, Jian Bing 5-3, JB 5-3)","China","Military","Earth Observation","LEO","97.2","2,700",2007-11-11,"Taiyuan Launch Center",626
"Yaogan 4 (Remote Sensing Satellite 4)","China","Government","Earth Observation","LEO","97.7","2,700",2008-12-01,"Jiuquan Satellite Launch Center",646.5
"Yaogan 6 (Remote Sensing Satellite 6, Jian Bing 7-A)","China","Government","Earth Observation","LEO","94.9","1,800",2009-04-22,"Taiyuan Launch Center",511.5
"Yaogan 7 (Remote Sensing Satellite 7)","China","Government","Earth Observation","LEO","97.7","2,700",2009-12-09,"Jiuquan Satellite Launch Center",646.5
"Yaogan 8 (Remote Sensing Satellite 8)","China","Government","Earth Observation","LEO","109.4","",2009-12-15,"Taiyuan Launch Center",1198.5
"Yaogan 9A (Remote Sensing Satellite 9A)","China","Government","Earth Observation","LEO","107.1","",2010-03-05,"Jiuquan Satellite Launch Center",1090.5
"Yaogan 9B (Remote Sensing Satellite 9B)","NR","Government","Earth Observation","LEO","107.1","",2010-03-05,"Jiuquan Satellite Launch Center",1090.5
"Yaogan 9C (Remote Sensing Satellite 9C)","NR","Government","Earth Observation","LEO","107.1","",2010-03-05,"Jiuquan Satellite Launch Center",1090.5
"Youthsat","India","Government","Space Science","LEO","101.2","92",2011-04-20,"Sriharikota Launch Station",813
"Yubileiny (Jubilejnyj, Radio Sputnik 30 (RS-30))","Russia","Civil","Technology Development","LEO","115.8","45",2008-05-23,"Plesetsk Cosmodrome",1493.5
"Yubileiny-2/RS-40","Russia","Civil","Earth Observation/Technology Development","LEO","115.9","65",2012-07-28,"Plesetsk Cosmodrome",1495.5
"ZACube-1 (TshepisoSat)","NR","Civil","Technology Development","LEO","94.4","1",2013-11-21,"Dombarovsky Air Base",638.5
"Zhangguo Ziyuan 2C (ZY-2C, JB-3C)","China","Military","Earth Observation","LEO","96.3","",2004-11-04,"Taiyuan Launch Center",580.5
"Zheda Pixing 1B (ZP-1B, Zhejiang University-1B)","China","Civil","Space Science","LEO","97.4","4",2010-09-22,"Jiuquan Satellite Launch Center",636
"Zheda Pixing 1C (ZP-1C, Zhejiang University-1B","China","Civil","Space Science","LEO","97.5","4",2010-09-22,"Jiuquan Satellite Launch Center",636.5
"Zhongxing 10 (XZ-10, Chinasat 10)","China","Government","Communications","GEO","1436.05","5,000",2011-06-20,"Xichang Satellite Launch Center",35786
"Zhongxing 12 (Chinasat 12, Apstar 7B, ZX-12)","China","Government","Communications","GEO","1435.92","5,500",2012-11-27,"Xichang Satellite Launch Center",35783
"Zhongxing 1A (Chinasat 1A, Fenghuo 2)","China","Military","Communications","GEO","1436.13","5,200",2011-09-18,"Xichang Satellite Launch Center",35787
"Zhongxing 20A ","China","Military","Communications","GEO","1436.05","2,300",2010-11-24,"Xichang Satellite Launch Center",35786
"Zhongxing 22A (Chinastar 22A)","China","Military","Communications","GEO","1436.1","2,300",2006-09-12,"Xichang Satellite Launch Center",35787
"Zhongxing 2A (Chinasat 2A)","China","Military/Government","Communications","GEO","1436.09","5,200",2012-05-26,"Xichang Satellite Launch Center",35786.5
"Zhongxing 9 (Chinasat 9, Chinastar 9)","China","Government","Communications","GEO","1436.1","",2008-06-09,"Xichang Satellite Launch Center",35785.5
"Ziyuan 1-02C","China","Government","Earth Observation","LEO","100.2","1,500",2011-12-22,"Taiyuan Launch Center",768
"Ziyuan 3 (ZY-3)","China","Government","Earth Observation","LEO","94.7","2,650",2012-01-09,"Taiyuan Launch Center",502
